Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,3e-07,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,10,1
Vertical Units,V,V,A
Vertical Offset,0,10,0.0452
Vertical Scale,5,0.2,0.005
Vertical Position,2.66,4.86,-0.66
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH4
-4.970e-05,0.3,9.508,0.0461
-4.969e-05,0.3,9.516,0.0457
-4.968e-05,0.3,9.508,0.0455
-4.967e-05,0.3,9.516,0.0455
-4.966e-05,0.3,9.532,0.0457
-4.965e-05,0.7,9.508,0.0461
-4.964e-05,0.3,9.524,0.0461
-4.963e-05,0.3,9.516,0.0461
-4.962e-05,0.5,9.516,0.0457
-4.961e-05,0.5,9.524,0.0459
-4.960e-05,0.3,9.524,0.0461
-4.959e-05,0.5,9.516,0.0459
-4.958e-05,0.5,9.524,0.0459
-4.957e-05,0.5,9.524,0.0457
-4.956e-05,0.5,9.508,0.0463
-4.955e-05,0.3,9.524,0.0459
-4.954e-05,0.1,9.524,0.0459
-4.953e-05,0.3,9.532,0.0461
-4.952e-05,0.3,9.524,0.0457
-4.951e-05,0.3,9.532,0.0459
-4.950e-05,0.1,9.524,0.0461
-4.949e-05,0.3,9.524,0.0461
-4.948e-05,0.3,9.524,0.0461
-4.947e-05,0.3,9.532,0.0463
-4.946e-05,0.3,9.524,0.0457
-4.945e-05,0.3,9.532,0.0457
-4.944e-05,0.3,9.524,0.0457
-4.943e-05,0.3,9.524,0.0457
-4.942e-05,0.1,9.516,0.0455
-4.941e-05,0.3,9.532,0.0459
-4.940e-05,0.3,9.532,0.0461
-4.939e-05,0.3,9.524,0.0459
-4.938e-05,0.5,9.524,0.0463
-4.937e-05,0.5,9.524,0.0459
-4.936e-05,0.3,9.524,0.0461
-4.935e-05,0.3,9.532,0.0457
-4.934e-05,0.3,9.524,0.0459
-4.933e-05,0.3,9.524,0.0461
-4.932e-05,0.3,9.532,0.0459
-4.931e-05,0.3,9.532,0.0461
-4.930e-05,0.3,9.54,0.0459
-4.929e-05,0.3,9.532,0.0461
-4.928e-05,0.3,9.54,0.0461
-4.927e-05,0.3,9.524,0.0461
-4.926e-05,0.1,9.532,0.0457
-4.925e-05,0.1,9.532,0.0461
-4.924e-05,0.3,9.532,0.0459
-4.923e-05,0.3,9.54,0.0457
-4.922e-05,1.5,9.54,0.0457
-4.921e-05,2.3,9.524,0.0461
-4.920e-05,2.7,9.54,0.0457
-4.919e-05,2.7,9.532,0.0461
-4.918e-05,3.5,9.468,0.0459
-4.917e-05,4.1,9.42,0.0461
-4.916e-05,4.1,9.516,0.0459
-4.915e-05,3.7,9.516,0.0459
-4.914e-05,3.1,9.444,0.0455
-4.913e-05,3.3,9.396,0.0451
-4.912e-05,3.7,9.444,0.0447
-4.911e-05,3.7,9.468,0.0459
-4.910e-05,4.1,9.404,0.0453
-4.909e-05,3.5,9.364,0.0451
-4.908e-05,3.9,9.436,0.0449
-4.907e-05,3.7,9.54,0.0455
-4.906e-05,3.7,9.564,0.0463
