Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,0,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,5.03,0
Vertical Scale,1,2
Vertical Position,2.2,-2.8
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.000e-05,4.63,3.6
-4.999e-05,4.75,3.6
-4.998e-05,4.79,3.6
-4.997e-05,4.71,3.6
-4.996e-05,4.67,3.52
-4.995e-05,4.67,3.52
-4.994e-05,4.71,3.52
-4.993e-05,4.75,3.6
-4.992e-05,4.71,3.52
-4.991e-05,4.63,3.44
-4.990e-05,4.67,3.52
-4.989e-05,4.63,3.68
-4.988e-05,4.71,3.52
-4.987e-05,4.71,3.6
-4.986e-05,4.71,3.52
-4.985e-05,4.63,3.44
-4.984e-05,4.67,3.6
-4.983e-05,4.75,3.6
-4.982e-05,4.75,3.6
-4.981e-05,4.71,3.6
-4.980e-05,4.71,3.6
-4.979e-05,4.75,3.6
-4.978e-05,4.67,3.52
-4.977e-05,4.67,3.52
-4.976e-05,4.63,3.44
-4.975e-05,4.71,3.44
-4.974e-05,4.67,3.52
-4.973e-05,4.63,3.6
-4.972e-05,4.63,3.68
-4.971e-05,4.59,3.6
-4.970e-05,4.75,3.6
-4.969e-05,4.71,3.52
-4.968e-05,4.71,3.52
-4.967e-05,4.63,3.6
-4.966e-05,4.63,3.52
-4.965e-05,4.67,3.52
-4.964e-05,4.67,3.52
-4.963e-05,4.71,3.6
-4.962e-05,4.67,3.52
-4.961e-05,4.67,3.52
-4.960e-05,4.71,3.52
-4.959e-05,4.71,3.6
-4.958e-05,4.63,3.6
-4.957e-05,4.71,3.6
-4.956e-05,4.67,3.6
-4.955e-05,4.67,3.6
-4.954e-05,4.63,3.6
-4.953e-05,4.67,3.52
-4.952e-05,4.67,3.6
-4.951e-05,4.67,3.52
-4.950e-05,4.71,3.6
-4.949e-05,4.71,3.52
-4.948e-05,4.71,3.6
-4.947e-05,4.67,3.6
-4.946e-05,4.67,3.6
-4.945e-05,4.71,3.6
-4.944e-05,4.67,3.52
-4.943e-05,4.63,3.52
-4.942e-05,4.67,3.6
-4.941e-05,4.67,3.68
-4.940e-05,4.75,3.6
-4.939e-05,4.71,3.6
-4.938e-05,4.71,3.6
-4.937e-05,4.71,3.68
-4.936e-05,4.67,3.52
-4.935e-05,4.71,3.6
-4.934e-05,4.71,3.6
-4.933e-05,4.67,3.6
-4.932e-05,4.71,3.6
-4.931e-05,4.67,3.68
-4.930e-05,4.71,3.52
-4.929e-05,4.71,3.6
-4.928e-05,4.71,3.6
-4.927e-05,4.71,3.68
-4.926e-05,4.71,3.52
-4.925e-05,4.67,3.6
-4.924e-05,4.71,3.6
-4.923e-05,4.67,3.6
-4.922e-05,4.67,3.6
-4.921e-05,4.71,3.6
-4.920e-05,4.71,3.68
-4.919e-05,4.71,3.52
-4.918e-05,4.67,3.52
-4.917e-05,4.71,3.6
-4.916e-05,4.71,3.6
-4.915e-05,4.71,3.6
-4.914e-05,4.63,3.68
-4.913e-05,4.63,3.6
